,time,latitude,longitude,adt,sla,ugos,ugosa,vgos,vgosa,State,year
150,1993-12-31 00:00:00,26.125,-87.125,0.3359,-0.2148,0.6146,0.3506,0.7051,0.7322,FL,1993
151,1993-12-31 00:00:00,26.125,-86.875,0.449,-0.0901,0.5478,0.2431,0.4898,0.5809,FL,1993
152,1993-12-31 00:00:00,26.125,-86.625,0.4854,-0.0321,0.5868,0.2634,0.1733,0.2904,FL,1993
153,1993-12-31 00:00:00,26.125,-86.375,0.516,0.0276,0.4683,0.1427,0.265,0.4195,FL,1993
154,1993-12-31 00:00:00,26.125,-86.125,0.548,0.0909,0.5073,0.1718,0.0559,0.2778,FL,1993
155,1993-12-31 00:00:00,26.125,-85.875,0.5327,0.1198,0.5796,0.2363,-0.1014,0.1724,FL,1993
156,1993-12-31 00:00:00,26.125,-85.625,0.5037,0.1412,0.6278,0.3265,-0.3295,-0.039,FL,1993
157,1993-12-31 00:00:00,26.125,-85.375,0.4165,0.0986,0.5217,0.3033,-0.6834,-0.412,FL,1993
158,1993-12-31 00:00:00,26.125,-85.125,0.3104,0.0317,0.3771,0.2324,-0.5791,-0.3214,FL,1993
159,1993-12-31 00:00:00,26.125,-84.875,0.2374,-0.0051,0.216,0.1161,-0.3981,-0.2147,FL,1993
160,1993-12-31 00:00:00,26.125,-84.625,0.1826,-0.0389,0.1718,0.0911,-0.2304,-0.1128,FL,1993
161,1993-12-31 00:00:00,26.125,-84.375,0.1656,-0.0372,0.0723,0.0096,-0.0516,0.0782,FL,1993
162,1993-12-31 00:00:00,26.125,-84.125,0.1625,-0.0213,-0.0041,-0.013,0.0133,0.1218,FL,1993
163,1993-12-31 00:00:00,26.125,-83.875,0.1662,-0.005,-0.048,-0.0461,-0.0214,0.0322,FL,1993
164,1993-12-31 00:00:00,26.125,-83.625,0.1512,-0.0142,-0.0426,-0.0605,-0.1768,-0.1217,FL,1993
165,1993-12-31 00:00:00,26.125,-83.375,0.1254,-0.0357,0.0428,-0.0086,-0.2156,-0.1122,FL,1993
166,1993-12-31 00:00:00,26.125,-83.125,0.1194,-0.0476,0.0657,0.0331,-0.0122,-0.0462,FL,1993
167,1993-12-31 00:00:00,26.125,-82.875,0.1155,-0.0553,0.1176,0.0544,-0.1017,-0.0593,FL,1993
168,1993-12-31 00:00:00,26.125,-82.625,0.0937,-0.068,0.1249,0.0561,-0.0888,-0.088,FL,1993
169,1993-12-31 00:00:00,26.125,-82.375,0.0868,-0.0797,0.1261,0.052,-0.0102,-0.0391,FL,1993
170,1993-12-31 00:00:00,26.125,-82.125,0.1,-0.0787,0.0936,0.0471,0.0756,0.0476,FL,1993
171,1993-12-31 00:00:00,26.125,-81.875,0.1126,-0.0709,0.0439,0.0304,0.0282,0.0122,FL,1993
172,1993-12-31 00:00:00,26.125,-80.125,0.1518,0.0103,0.1402,0.0864,0.7852,-0.039,FL,1993
173,1993-12-31 00:00:00,26.125,-79.875,0.2566,0.0024,0.1157,0.0113,1.1948,-0.0529,FL,1993
174,1993-12-31 00:00:00,26.375,-97.375,0.2083,-0.026,0.0942,0.0678,0.0219,0.0202,TX,1993
175,1993-12-31 00:00:00,26.375,-97.125,0.2026,-0.0228,0.0967,0.0577,-0.0389,0,TX,1993
176,1993-12-31 00:00:00,26.375,-96.875,0.1879,-0.0293,0.037,0.0035,-0.1551,-0.1057,TX,1993
177,1993-12-31 00:00:00,26.375,-96.625,0.1534,-0.0557,-0.0123,-0.0272,-0.1974,-0.1765,TX,1993
178,1993-12-31 00:00:00,26.375,-96.375,0.1234,-0.0841,-0.0364,-0.0364,-0.1717,-0.1855,TX,1993
179,1993-12-31 00:00:00,26.375,-96.125,0.0968,-0.1157,-0.0457,-0.0426,-0.1416,-0.1795,TX,1993
180,1993-12-31 00:00:00,26.375,-95.875,0.0917,-0.1305,-0.0825,-0.0863,0.1067,0.0581,TX,1993
181,1993-12-31 00:00:00,26.375,-95.625,0.1314,-0.0991,-0.0162,-0.0174,0.2962,0.2474,TX,1993
182,1993-12-31 00:00:00,26.375,-95.375,0.1818,-0.0565,0.1092,0.1241,0.3469,0.3049,TX,1993
183,1993-12-31 00:00:00,26.375,-95.125,0.2429,-0.0019,0.2296,0.265,0.3356,0.3072,TX,1993
184,1993-12-31 00:00:00,26.375,-94.875,0.289,0.0416,0.189,0.2313,0.2525,0.2548,TX,1993
185,1993-12-31 00:00:00,26.375,-94.625,0.3247,0.0809,0.0862,0.1192,0.1441,0.1842,TX,1993
186,1993-12-31 00:00:00,26.375,-94.375,0.3371,0.1013,0.1163,0.137,0.0531,0.095,TX,1993
187,1993-12-31 00:00:00,26.375,-94.125,0.3442,0.1124,0.1389,0.1569,0.0022,0.0115,TX,1993
188,1993-12-31 00:00:00,26.375,-93.875,0.3362,0.1022,0.1095,0.1304,-0.1112,-0.1233,TX,1993
189,1993-12-31 00:00:00,26.375,-93.625,0.3125,0.0752,0.1072,0.1247,-0.1863,-0.1985,TX,1993
190,1993-12-31 00:00:00,26.375,-87.625,0.1569,-0.343,0.0175,-0.2588,-0.1377,-0.1922,FL,1993
