geoid,geoName,year,sector,establishments,employment,wages,gdp
28000,Mississippi,2016,Leisure and Hospitality,6314,136393,2323495769,4927800000
28000,Mississippi,2017,Leisure and Hospitality,6439,137915,2371050964,5021600000
28000,Mississippi,2020,Leisure and Hospitality,6706,120916,2237630998,4852600000
28000,Mississippi,2019,Manufacturing,2400,147251,7393587079,18682500000
28000,Mississippi,2020,Manufacturing,2379,139995,7291021578,16397000000
28000,Mississippi,2017,Natural Resources and Mining,2168,16360,747346922,2790600000
28000,Mississippi,2018,Natural Resources and Mining,2153,16234,763451813,3428200000
28000,Mississippi,2020,Other Services,4639,20155,775162107,2860800000
28000,Mississippi,2020,Professional and Business Services,12800,111804,5219979699,8269400000
28000,Mississippi,2018,Education and Health Services,8919,289381,12180052771,9797700000
28000,Mississippi,2016,Manufacturing,2460,143566,6793063120,16437100000
28000,Mississippi,2017,Other Services,4741,21345,723966040,2559500000
28000,Mississippi,2016,Professional and Business Services,11993,111702,4711423694,7812900000
28000,Mississippi,2019,Public Administration,1498,66616,2827476409,20306500000
28000,Mississippi,2019,All Industries Total,73760,1135597,46203919689,115971000000
28000,Mississippi,2016,Financial Activities,7944,43903,2185062547,16569300000
28000,Mississippi,2018,Financial Activities,8066,43798,2328302352,17035300000
28000,Mississippi,2017,Education and Health Services,8809,288804,11880994525,9531400000
28000,Mississippi,2019,Education and Health Services,8948,292124,12593502751,10124400000
28000,Mississippi,2017,Professional and Business Services,12063,111670,4742824659,7985900000
28000,Mississippi,2019,Professional and Business Services,12528,112515,4963132914,8138100000
28000,Mississippi,2016,Education and Health Services,8668,287002,11643022831,9241700000
28000,Mississippi,2016,Information,1184,13483,604622324,2393600000
28000,Mississippi,2018,Leisure and Hospitality,6526,138102,2443629596,5167800000
28000,Mississippi,2019,Leisure and Hospitality,6575,139463,2511975738,5321700000
28000,Mississippi,2018,Manufacturing,2425,145270,7175575000,18837100000
28000,Mississippi,2019,Natural Resources and Mining,2110,15777,777215011,2886500000
28000,Mississippi,2020,Natural Resources and Mining,2070,14561,735677271,2320700000
09000,Connecticut,2016,All Industries Total,116805,1666554,109775385703,262978600000
09000,Connecticut,2018,All Industries Total,120871,1673924,113395352138,279782300000
09000,Connecticut,2016,Leisure and Hospitality,10417,173031,4164447636,8536400000
09000,Connecticut,2019,All Industries Total,122995,1670704,116567000000,287822000000
09000,Connecticut,2017,Construction,9520,62188,4250181560,8031500000
09000,Connecticut,2020,Financial Activities,11261,118749,19546673148,82821700000
09000,Connecticut,2019,Education and Health Services,14001,460755,27314742898,29955800000
09000,Connecticut,2017,Natural Resources and Mining,435,5305,212307519,558300000
09000,Connecticut,2017,Other Services,16547,64373,2150722668,5065900000
09000,Connecticut,2017,All Industries Total,118613,1669616,111257000000,265535000000
09000,Connecticut,2020,Construction,9586,60718,4561204479,7539400000
09000,Connecticut,2017,Leisure and Hospitality,10539,175855,4324139370,8893400000
09000,Connecticut,2019,Leisure and Hospitality,11119,175854,4517937822,9544300000
09000,Connecticut,2019,Manufacturing,4407,162230,13800374448,29662800000
09000,Connecticut,2019,Natural Resources and Mining,439,5258,217936503,581200000
09000,Connecticut,2017,Professional and Business Services,22990,220233,19184939297,32534200000
09000,Connecticut,2019,Construction,9667,63615,4585477950,8513900000
09000,Connecticut,2018,Financial Activities,10920,124296,19259999752,85032600000
09000,Connecticut,2020,Leisure and Hospitality,11117,129419,3569488078,8249100000
09000,Connecticut,2018,Leisure and Hospitality,10871,176472,4434975808,9219900000
09000,Connecticut,2018,Manufacturing,4410,160823,13286112938,28792400000
09000,Connecticut,2020,Manufacturing,4388,154161,13527745021,30267700000
09000,Connecticut,2020,Natural Resources and Mining,469,5260,226942651,503400000
09000,Connecticut,2016,Other Services,15738,63145,2072187245,4913800000
09000,Connecticut,2016,Professional and Business Services,22659,219955,19189388537,32000200000
09000,Connecticut,2018,Professional and Business Services,23455,222740,19552416428,33376700000
09000,Connecticut,2016,Public Administration,1732,57671,4174334087,26953600000
09000,Connecticut,2018,Public Administration,1714,55262,4212148458,27838300000
09000,Connecticut,2020,Professional and Business Services,24303,208303,19893716942,32647800000
09000,Connecticut,2017,Public Administration,1726,56017,4141410885,27320300000
09000,Connecticut,2019,Public Administration,1715,55596,4269659834,28249500000
09000,Connecticut,2016,Construction,9516,63070,4177754456,7781500000
09000,Connecticut,2018,Construction,9569,62587,4348645051,8193200000
09000,Connecticut,2020,Education and Health Services,20482,444471,28163324573,29114500000
09000,Connecticut,2017,Manufacturing,4462,159198,13038779319,28962700000
09000,Connecticut,2019,Professional and Business Services,23928,220535,20276458593,34722000000
09000,Connecticut,2020,All Industries Total,124953,1545338,116390079703,276422900000
09000,Connecticut,2019,Financial Activities,11068,122503,19250269810,85421900000
09000,Connecticut,2016,Information,2119,35399,3410152232,13606800000
09000,Connecticut,2016,Natural Resources and Mining,436,5294,203527233,647600000
09000,Connecticut,2018,Natural Resources and Mining,443,5272,211155833,536200000
09000,Connecticut,2018,Other Services,17535,67002,2253125080,5391300000
09000,Connecticut,2020,Other Services,12497,48194,2030941818,4687800000
09000,Connecticut,2020,Public Administration,1708,56134,4435914225,4796200000
09000,Connecticut,2016,Financial Activities,10644,128389,19257332780,74488300000
09000,Connecticut,2017,Financial Activities,10819,126675,19272255268,73978000000
13000,Georgia,2018,Natural Resources and Mining,2630,29395,1234878865,5451000000
13000,Georgia,2020,Professional and Business Services,60758,694636,53012627379,79494900000
13000,Georgia,2016,Construction,23042,175684,9803667952,21188100000
13000,Georgia,2016,Financial Activities,28047,229988,18024612065,107168900000
13000,Georgia,2016,Information,5474,113609,10086661041,43002600000
13000,Georgia,2017,Information,5055,118632,11248490492,47561700000
13000,Georgia,2019,Leisure and Hospitality,25316,499829,10693607741,21253600000
13000,Georgia,2020,Leisure and Hospitality,26804,415347,9168834963,18429700000
13000,Georgia,2018,Manufacturing,9887,406820,24070689256,62374500000
13000,Georgia,2019,Manufacturing,10069,404088,23536606783,61607800000
23000,Maine,2020,Natural Resources and Mining,1582,7787,322563894,939300000
23000,Maine,2019,Other Services,3785,17971,635321675,1515700000
23000,Maine,2016,Trade Transportation and Utilities,11926,125463,4493861466,10524900000
23000,Maine,2019,All Industries Total,53537,621691,29336314413,67717100000
23000,Maine,2020,All Industries Total,54304,584270,30353986828,69271800000
23000,Maine,2020,Construction,5857,31220,1725464358,2392100000
23000,Maine,2018,Leisure and Hospitality,5159,70390,1557181422,3645400000
23000,Maine,2020,Manufacturing,1864,56716,3644910792,6569200000
23000,Maine,2019,Leisure and Hospitality,5245,71561,1659470111,3848600000
23000,Maine,2020,Leisure and Hospitality,5282,53345,1345231784,3116200000
24000,Maryland,2016,All Industries Total,170930,2627171,152655135759,384155800000
24000,Maryland,2017,All Industries Total,172188,2653568,158160000000,398416000000
24000,Maryland,2019,Construction,16695,166132,11263569214,19124700000
24000,Maryland,2020,Construction,16347,160039,11305443891,24452200000
24000,Maryland,2019,Financial Activities,15520,135353,13268636866,94750900000
24000,Maryland,2016,Manufacturing,3752,103586,7649142421,21157800000
24000,Maryland,2016,Other Services,19513,91205,3691251421,8758300000
24000,Maryland,2018,Professional and Business Services,42876,460340,36809006697,58361800000
24000,Maryland,2019,Professional and Business Services,44239,469251,38964975372,61507400000
24000,Maryland,2018,All Industries Total,173355,2679064,163828734277,411619100000
24000,Maryland,2017,Construction,16464,162140,10543473802,17475700000
24000,Maryland,2018,Construction,16488,163210,10767063619,18448400000
24000,Maryland,2020,Financial Activities,15700,129902,14309570398,85398700000
24000,Maryland,2017,Other Services,19523,91945,3856909992,9095600000
24000,Maryland,2016,Professional and Business Services,41574,450142,33860866970,53428000000
24000,Maryland,2017,Professional and Business Services,42242,451335,35083366316,55784100000
24000,Maryland,2017,Education and Health Services,22010,642492,35103785437,36196300000
24000,Maryland,2019,Education and Health Services,23166,660696,37606181131,38947800000
24000,Maryland,2019,Information,2930,39377,3661019710,16676900000
24000,Maryland,2019,Manufacturing,4145,112273,8871316955,24968500000
24000,Maryland,2017,Public Administration,1113,242884,19736983114,80235200000
24000,Maryland,2017,Trade Transportation and Utilities,33525,475968,21777946018,52346400000
24000,Maryland,2020,All Industries Total,174808,2512624,173067172644,410674700000
24000,Maryland,2016,Construction,16364,161014,10062146842,17108800000
24000,Maryland,2017,Leisure and Hospitality,14781,282173,6667505909,15814200000
24000,Maryland,2017,Manufacturing,3901,106864,8259439190,22798300000
24000,Maryland,2016,Natural Resources and Mining,715,6424,262412655,1135600000
24000,Maryland,2020,Natural Resources and Mining,720,7112,333462019,984300000
24000,Maryland,2019,Other Services,19378,92018,4077957168,9924000000
24000,Maryland,2018,Public Administration,1098,244279,20408803930,83590600000
24000,Maryland,2019,All Industries Total,176161,2698114,169916000000,426747000000
24000,Maryland,2016,Financial Activities,15005,140031,12424993474,86829800000
24000,Maryland,2018,Financial Activities,15285,138413,13039766335,92469100000
24000,Maryland,2016,Leisure and Hospitality,14632,274372,6204744711,14810000000
24000,Maryland,2018,Leisure and Hospitality,14819,283943,6874033300,15981300000
24000,Maryland,2018,Manufacturing,4035,109683,8593719464,24478000000
24000,Maryland,2018,Other Services,19373,92250,4002804544,9495200000
24000,Maryland,2020,Other Services,19047,78703,3809480280,7419300000
37000,North Carolina,2018,All Industries Total,278143,4410791,223872956323,567451700000
37000,North Carolina,2018,Construction,26741,220692,12046837801,21767300000
37000,North Carolina,2020,Construction,29231,229369,13573388496,25629800000
37000,North Carolina,2016,Financial Activities,26474,220703,17426699919,101967100000
37000,North Carolina,2018,Education and Health Services,30810,1002076,49288893944,45035800000
37000,North Carolina,2020,Leisure and Hospitality,27090,425493,9214159206,19473500000
37000,North Carolina,2016,Manufacturing,10265,464586,26319014651,95620200000
37000,North Carolina,2018,Other Services,23490,111376,3912005626,11415900000
37000,North Carolina,2017,Public Administration,2580,242857,11737813594,71047800000
37000,North Carolina,2020,All Industries Total,298506,4323326,243032109324,589829000000
37000,North Carolina,2016,Construction,25393,200569,10043210627,18722600000
37000,North Carolina,2018,Financial Activities,27813,233652,20401885104,115475200000
37000,North Carolina,2016,Other Services,22403,107107,3525789278,10488500000
37000,North Carolina,2016,Professional and Business Services,56733,611393,36769543952,60226800000
51000,Virginia,2016,All Industries Total,264329,3789745,207814620813,493865500000
51000,Virginia,2017,All Industries Total,270073,3838369,216880000000,510425000000
51000,Virginia,2016,Manufacturing,6342,242124,13883968228,42101500000
51000,Virginia,2017,Manufacturing,6484,243933,14345009082,43416000000
51000,Virginia,2016,Natural Resources and Mining,2057,18919,817124653,2584400000
51000,Virginia,2019,Natural Resources and Mining,2095,18691,910319177,3249000000
51000,Virginia,2018,All Industries Total,278350,3893254,226740214421,533510400000
51000,Virginia,2020,All Industries Total,282884,3743713,243935486612,549535800000
51000,Virginia,2017,Construction,21437,200576,11272835544,20240400000
51000,Virginia,2019,Construction,21643,212312,12801356754,22446000000
51000,Virginia,2019,Financial Activities,22283,199635,17591573963,109597000000
51000,Virginia,2017,Other Services,32306,144260,6105487081,12661900000
51000,Virginia,2017,Professional and Business Services,57518,738408,62453709485,96970100000
51000,Virginia,2019,Professional and Business Services,59721,775431,69704060162,108162000000
51000,Virginia,2017,Public Administration,4143,248256,19149774898,94341000000
51000,Virginia,2019,Public Administration,4299,253676,20437799495,99758600000
51000,Virginia,2017,Financial Activities,21642,193190,15891043768,98289000000
51000,Virginia,2016,Education and Health Services,46076,837912,39110295265,36487700000
51000,Virginia,2020,Education and Health Services,50816,832048,44472125578,39141800000
51000,Virginia,2019,Leisure and Hospitality,21093,425912,9319519449,18921100000
51000,Virginia,2020,Professional and Business Services,60478,764916,73086886370,107890400000
51000,Virginia,2016,Public Administration,4050,248146,18651601442,92047600000
51000,Virginia,2018,Construction,21686,205295,11911486334,21319100000
51000,Virginia,2020,Construction,21586,208887,13238875511,25062100000
51000,Virginia,2020,Financial Activities,22785,196841,19155637239,107334400000
51000,Virginia,2020,Information,5022,69501,7820023513,21216300000
51000,Virginia,2016,Other Services,27800,139634,5853237814,12355200000
51000,Virginia,2016,Professional and Business Services,57024,724263,59486109111,91915500000
51000,Virginia,2018,Professional and Business Services,59226,758957,66109317754,103113100000
51000,Virginia,2018,Public Administration,4165,250782,19811228164,96529800000
01000,Alabama,2018,Professional and Business Services,22014,248167,13867486497,21894700000
01000,Alabama,2016,Construction,9397,84105,4250189880,7190700000
01000,Alabama,2016,Financial Activities,13017,95401,6060131234,33866200000
01000,Alabama,2018,Education and Health Services,15057,435091,20548636242,17795500000
01000,Alabama,2019,Education and Health Services,16067,441765,21457129359,18617000000
01000,Alabama,2018,Information,2235,21838,1284844431,4518400000
01000,Alabama,2020,Leisure and Hospitality,11444,183449,3490082080,6890700000
01000,Alabama,2017,Public Administration,2068,124444,6812332260,35454100000
01000,Alabama,2018,Public Administration,2049,124435,6955279973,36598000000
01000,Alabama,2017,Trade Transportation and Utilities,33653,400245,16499124645,38139500000
10000,Delaware,2016,All Industries Total,31716,438238,23561790659,70379800000
10000,Delaware,2018,Construction,2878,23734,1384974779,2847900000
10000,Delaware,2019,Construction,3014,24465,1493250064,3014400000
10000,Delaware,2018,Financial Activities,2867,47671,4556612900,32907500000
10000,Delaware,2016,Manufacturing,745,25735,1541884231,3970000000
10000,Delaware,2017,Natural Resources and Mining,177,1538,60962759,570900000
10000,Delaware,2018,Natural Resources and Mining,177,1535,61377269,624700000
10000,Delaware,2017,Other Services,2003,11881,399328714,999700000
10000,Delaware,2020,Other Services,2088,10706,408279763,1086500000
10000,Delaware,2019,Professional and Business Services,9430,64126,5291777325,8751700000
10000,Delaware,2020,Professional and Business Services,9775,61953,5297135332,8601200000
10000,Delaware,2020,Construction,3113,23942,1520135569,2828100000
10000,Delaware,2016,Financial Activities,2779,47174,4147573198,32206400000
10000,Delaware,2020,Education and Health Services,5780,110009,6579658203,5930400000
10000,Delaware,2016,Information,410,4611,306784808,1351400000
10000,Delaware,2019,Leisure and Hospitality,2718,53126,1129733351,2206300000
10000,Delaware,2018,Manufacturing,661,27077,1737043196,4819000000
10000,Delaware,2019,Natural Resources and Mining,180,1471,61980801,506500000
10000,Delaware,2017,Public Administration,233,13758,789882632,6947600000
10000,Delaware,2017,All Industries Total,31963,441874,24668830510,72167200000
10000,Delaware,2018,All Industries Total,33148,447075,25399918476,74186700000
10000,Delaware,2016,Construction,2829,22497,1242583338,2530500000
10000,Delaware,2017,Construction,2784,23146,1330833690,2702400000
10000,Delaware,2019,Financial Activities,2915,48222,4698677506,34257800000
10000,Delaware,2020,Financial Activities,3013,47451,4895407072,34142200000
10000,Delaware,2019,Education and Health Services,5642,113754,6486365113,6273600000
10000,Delaware,2018,Other Services,2054,11930,408718230,1024100000
10000,Delaware,2019,Other Services,2052,12125,432068434,1083600000
10000,Delaware,2018,Professional and Business Services,8965,63686,5090711664,8392600000
10000,Delaware,2020,Public Administration,234,14197,901171220,935600000
10000,Delaware,2019,Information,498,3905,273449341,1033100000
10000,Delaware,2016,Trade Transportation and Utilities,6745,83163,3401885572,7084600000
