geoid,geoName,year,sector,establishments,employment,wages,gdp
25000,Massachusetts,2017,Trade Transportation and Utilities,29867,453079,23672190434,52044350978
28000,Mississippi,2020,Construction,672,6664,360867086,658911394.3
28000,Mississippi,2019,Financial Activities,947,4999,232647049,1811989108
28000,Mississippi,2017,Leisure and Hospitality,991,30900,664228798,1429334789
28000,Mississippi,2018,Natural Resources and Mining,22,231,18179945,88195962.79
28000,Mississippi,2020,Professional and Business Services,1302,14151,737958037,1376304360
28000,Mississippi,2016,Public Administration,108,10543,564767629,4623778153
28000,Mississippi,2016,All Industries Total,7786,147324,6165621026,16045376233
28000,Mississippi,2016,Financial Activities,949,5087,217479026,1745072281
28000,Mississippi,2018,Financial Activities,971,5031,229123436,1780620104
28000,Mississippi,2017,Education and Health Services,1030,31386,1425044890,1285570152
28000,Mississippi,2019,Education and Health Services,1054,31828,1514952931,1366432048
28000,Mississippi,2019,Information,101,1420,63751636,335262391.8
28000,Mississippi,2020,Manufacturing,233,18237,1321980774,2999804696
28000,Mississippi,2020,Natural Resources and Mining,23,256,20534559,69907104.21
28000,Mississippi,2016,Other Services,571,2747,84968399,331178099.5
28000,Mississippi,2018,Professional and Business Services,1286,13700,695096917,1323430093
28000,Mississippi,2017,Public Administration,106,10632,579546788,4638180787
28000,Mississippi,2018,Public Administration,109,10652,585641526,4796441604
28000,Mississippi,2020,Trade, Transportation, and Utilitie,1911,24631
28000,Mississippi,2018,All Industries Total,7937,147529,6415261015,16937107722
28000,Mississippi,2018,Construction,677,7198,371669486,813324847.3
28000,Mississippi,2020,Education and Health Services,1061,31288,1564340083,1317166867
28000,Mississippi,2016,Information,99,1605,70650842,318023789.4
28000,Mississippi,2019,Leisure and Hospitality,1003,31821,717270017,1543465999
28000,Mississippi,2018,Manufacturing,230,14803,1107315549,3003067799
28000,Mississippi,2016,Natural Resources and Mining,22,96,5857886,20578566.3
28000,Mississippi,2019,Other Services,547,2836,94706387,381037614.6
28000,Mississippi,2017,Trade Transportation and Utilities,1902,25300,870938285,2452203219
28000,Mississippi,2017,Construction,659,6672,334591886,738910177.4
28000,Mississippi,2017,Financial Activities,962,5149,229268186,1830649374
28000,Mississippi,2016,Education and Health Services,1026,31095,1389818210,1251399503
28000,Mississippi,2018,Education and Health Services,1054,31524,1464268706,1317108412
9000,Connecticut,2019,Financial Activities,7031,57238,10921043588,50856781159
9000,Connecticut,2019,Education and Health Services,8627,282908,17281520919,19405598170
9000,Connecticut,2016,Manufacturing,2510,86828,7213360004,16279436446
9000,Connecticut,2016,Natural Resources and Mining,207,2963,121605285,452767283.4
9000,Connecticut,2018,Natural Resources and Mining,209,3005,128107459,381897169.7
9000,Connecticut,2020,Trade, Transportation, and Utilitie,14742,169764
9000,Connecticut,2016,Construction,5699,36242,2371852659,4672405340
9000,Connecticut,2018,Construction,5759,36118,2454101227,4940906147
9000,Connecticut,2018,Financial Activities,6887,58812,10896433194,50535728036
9000,Connecticut,2020,Financial Activities,7183,54911,11168770716,49693655953
9000,Connecticut,2020,Education and Health Services,12546,272549,17812681308,18862618099
9000,Connecticut,2017,Natural Resources and Mining,206,2653,114944132,378378875.4
9000,Connecticut,2019,Trade, Transportation, and Utilitie,14762,178399
12000,Florida,2017,Manufacturing,14764,272881,16180220371,39875776021
12000,Florida,2017,Natural Resources and Mining,3043,45548,1421518507,4399219731
12000,Florida,2019,Natural Resources and Mining,3062,42246,1432860558,4576901943
12000,Florida,2019,Other Services,45272,218480,8098834544,23047812259
12000,Florida,2017,Trade Transportation and Utilities,105982,1329142,56791181766,1.49066E+11
12000,Florida,2016,Leisure and Hospitality,42608,837733,20335134732,41162265208
12000,Florida,2016,Manufacturing,14621,267022,15373316656,38031279287
12000,Florida,2016,Natural Resources and Mining,3071,48904,1442805493,4433723146
12000,Florida,2018,Natural Resources and Mining,3069,43728,1427849774,4693402605
12000,Florida,2018,Other Services,44535,216797,7751358413,21879294986
12000,Florida,2020,Other Services,43822,197117,7866661243,21391667097
12000,Florida,2016,Public Administration,2711,315151,18564812716,82247848430
12000,Florida,2016,Trade Transportation and Utilities,106993,1315422,54465656808,1.43584E+11
12000,Florida,2018,Trade, Transportation, and Utilitie,105687,1354272
12000,Florida,2018,All Industries Total,519384,6362150,3.19495E+11,8.12817E+11
12000,Florida,2020,Financial Activities,62622,444754,37691188152,2.39295E+11
12000,Florida,2016,Education and Health Services,55367,1116644,54842905149,71806667550
12000,Florida,2018,Leisure and Hospitality,44183,871568,22549396718,45365834924
12000,Florida,2020,Natural Resources and Mining,3119,41606,1506703555,4363840695
12000,Florida,2016,Other Services,43198,210803,7071235926,19879135847
12000,Florida,2016,Professional and Business Services,111814,908055,52391443019,94271016008
12000,Florida,2019,Public Administration,2656,325201,20667831314,92711285964
12000,Florida,2017,All Industries Total,507683,6228062,3.02798E+11,7.59601E+11
12000,Florida,2019,All Industries Total,537848,6490106,3.36101E+11,8.5588E+11
12000,Florida,2016,Information,6958,98402,7765713076,33108143994
12000,Florida,2018,Information,7278,98741,8136295003,32524176443
12000,Florida,2018,Manufacturing,14782,278001,17137183603,43107486116
12000,Florida,2020,Manufacturing,15127,278681,18418898613,43286118889
12000,Florida,2018,Public Administration,2635,315712,19760409925,89000950121
12000,Florida,2020,Public Administration,2548,328375,21827941017,20682929310
12000,Florida,2018,Construction,54814,405039,20464772093,43465505418
12000,Florida,2020,Construction,58736,420948,23315779835,47882387474
12000,Florida,2017,Leisure and Hospitality,43135,852648,21251970737,42908750105
12000,Florida,2019,Leisure and Hospitality,45608,883570,23437064873,47509302626
12000,Florida,2017,Other Services,43882,212895,7414125179,20456883564
37000,North Carolina,2018,Public Administration,504,30684,1580040009,10888989252
37000,North Carolina,2018,Trade, Transportation, and Utilitie,7080,90414
37000,North Carolina,2020,Trade, Transportation, and Utilitie,7158,90119
37000,North Carolina,2016,Construction,3159,19766,854737693,1661271814
37000,North Carolina,2018,Construction,3327,22604,1048718971,2000400778
37000,North Carolina,2017,Information,443,5544,297543081,982697889.1
37000,North Carolina,2017,Manufacturing,847,26021,1546610117,5591919738
37000,North Carolina,2019,Manufacturing,834,25953,1611121668,5677931655
37000,North Carolina,2017,Professional and Business Services,5246,43723,2180383149,3901888645
